 978-1501158148,What It Takes: Lessons in the Pursuit of Excellence,Hardcover,English, Stephen A. Schwarzman,Business,Yes,Yes,2,2,"From Blackstone chairman, CEO, and co-founder Stephen A. Schwarzman, a long-awaited book that uses impactful episodes from Schwarzman's life to show readers how to build, transform, and lead thriving organizations. Whether you are a student, entrepreneur, philanthropist, executive, or simply someone looking for ways to maximize your potential, the same lessons apply."
978-1626346451,Trailblazer: From the Mountains of Kashmir to the Summit of Global Business and Beyond,Hardcover,English,Farooq Kathwari,Business,Yes,No,4,0,"Brimming with drama, insight, and unexpected humor, Trailblazer recounts a unique life story, offering readers not just an engrossing journey but also the wisdom of an exceptional leader."
978-0525575474,"Blowout: Corrupted Democracy, Rogue State Russia, and the Richest, Most Destructive Industry on Earth",Hardcover,English,Rachel Maddow,Political Science,No,No,0,0,"With her trademark black humor, Maddow takes us on a switchback journey around the globe, revealing the greed and incompetence of Big Oil and Gas along the way, and drawing a surprising conclusion about why the Russian government hacked the 2016 U.S. election"
978-1544308135,"Contemporary Criminal Law: Concepts, Cases, and Controversies",Paperback,English,Matthew Lippman,Law,No,No,0,0, The book provides a contemporary perspective on criminal law that encourages students to actively read and analyze the text.
978-0190866112,Climate Change: What Everyone Needs to Know,Hardcover,English,Joseph Romm,Global warming,No,No,0,0,"As the global response to climate change continues to evolve, Climate Change: What Everyone Needs to Know® offers smart, unbiased answers to the most difficult questions in an area dogged by misunderstanding and politicization."
 978-0062368539,Why Religion?: A Personal Story,Hardcover,English,Elaine Pagels,Religion,Yes,Yes,3,2,"Why is religion still around in the twenty-first century? Why do so many still believe? And how do various traditions still shape the way people experience everything from sexuality to politics, whether they are religious or not? In Why Religion? Elaine Pagels looks to her own life to help address these questions."
978-0195326857,The Fundamentals of Ethics,Hardcover,English,Russ Shafer Landau ,Ethics,Yes,Yes,3,2,"In The Fundamentals of Ethics, author Russ Shafer-Landau employs a uniquely engaging writing style to introduce students to the essential ideas of moral philosophy"
 978-0310536420,Moral Choices: An Introduction to Ethics,Hardcover,English,Scott Rae,Ethics,Yes,Yes,2,2,Moral Choices outlines the distinctive elements of Christian ethics while avoiding undue dogmatism
978-1942121039,Business Boutique: A Woman's Guide for Making Money Doing What She Loves,Hardcover,English,Christy Wright,Business ,Yes,Yes,4,3,"There is a movement of women stepping into their God-given gifts to make money doing what they love. If you're ready to join them, this is your handbook that will take the ideas in your head and the dream in your heart and turn them into action."
978-0008313692,The Little Book of Sloth Philosophy ,Hardcover,English,Jennifer McCartney,Philosophy,Yes,Yes,3,3,"Dispelling over-complicated myths about productivity, this brilliant book confirms that it really is OK to be a sloth."
 978-1501124020,Principles: Life and Work,Hardcover,English,Ray Dalio,Buisness,No,No,0,0,"Ray Dalio, one of the world’s most successful investors and entrepreneurs, shares the unconventional principles that he’s developed, refined, and used over the past forty years to create unique results in both life and business—and which any person or organization can adopt to help achieve their goals."
